step,fair_value,reference_price,post_trade_reference_price,bid,ask,spread,taker_side,order_size,signed_order_flow,trade_price,maker_inventory,maker_cash,maker_pnl,aggregate_signal,buy_probability,liquidity,regime,sentiment,fomo,fear,greed,public_fundamental,information_gap,information_event,active_worlds,simulation_seed,world_weights_json,world_signals_json
1,99.97764816,99.97764816,99.97764816,99.95764816,99.99764816,0.04000000,buy,8,8,99.99764816,-8,799.98118531,0.16000000,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97764816,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
2,99.97396329,99.97396329,99.97396329,99.96993129,100.00999529,0.04006400,buy,6,6,100.00999529,-14,1400.04115706,0.40567098,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97396329,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
3,99.91507841,99.91507841,99.91507841,99.92302241,99.96313441,0.04011200,sell,7,-7,99.92302241,-7,700.58000016,1.17445127,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.91507841,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
4,99.88177620,99.88177620,99.88177620,99.87574820,99.91580420,0.04005600,buy,4,4,99.91580420,-11,1100.24321695,1.54367878,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.88177620,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
5,99.91337592,99.91337592,99.91337592,99.91533192,99.95541992,0.04008800,sell,4,-4,99.91533192,-7,700.58188926,1.18825781,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.91337592,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
6,99.95376202,99.95376202,99.95376202,99.94773402,99.98779002,0.04005600,sell,3,-3,99.94773402,-4,400.73868719,0.92363910,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.95376202,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
7,99.97686993,99.97686993,99.97686993,99.96485393,100.00488593,0.04003200,buy,4,4,100.00488593,-8,800.75823093,0.94327145,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.97686993,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
8,100.00026322,100.00026322,100.00026322,99.99623122,100.03629522,0.04006400,buy,8,8,100.03629522,-16,1601.04859269,1.04438117,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,100.00026322,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
9,99.99007450,99.99007450,99.99007450,100.00201050,100.04213850,0.04012800,sell,9,-9,100.00201050,-7,701.03049818,1.09997668,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.99007450,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
10,99.92860315,99.92860315,99.92860315,99.92257515,99.96263115,0.04005600,buy,7,7,99.96263115,-14,1400.76891626,1.76847210,1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.92860315,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":1.0,""size_multiplier"":1.0}}"
11,99.98748027,99.98748027,99.98748027,99.99542427,100.03553627,0.04011200,sell,4,-4,99.99542427,-10,1000.78721920,0.91241653,-1.00000000,0.50000000,1.00000000,none,0.00000000,0.00000000,0.00000000,0.00000000,99.98748027,0.00000000,0,random,42,"{""random"":1.0}","{""random"":{""signal"":-1.0,""size_multiplier"":1.0}}"
